id,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pekerjaan,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,BEKERJA,0,ORANG,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,NA,0,ORANG,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PELAJAR,0,ORANG,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,BEKERJA,0,ORANG,2018
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,NA,0,ORANG,2018
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PELAJAR,1,ORANG,2018
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,BEKERJA,0,ORANG,2018
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,NA,0,ORANG,2018
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PELAJAR,5,ORANG,2018
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,BEKERJA,1,ORANG,2018
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,IBU RUMAH TANGGA,9,ORANG,2018
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,NA,0,ORANG,2018
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PELAJAR,17,ORANG,2018
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SWASTA/BURUH,1,ORANG,2018
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK BEKERJA,1,ORANG,2018
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,BEKERJA,0,ORANG,2018
34,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
35,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,NA,0,ORANG,2018
36,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PELAJAR,2,ORANG,2018
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK BEKERJA,2,ORANG,2018
41,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,BEKERJA,0,ORANG,2018
42,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,IBU RUMAH TANGGA,0,ORANG,2018
43,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,NA,0,ORANG,2018
44,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
45,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PELAJAR,0,ORANG,2018
46,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
47,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
48,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
49,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,BEKERJA,0,ORANG,2018
50,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
51,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,NA,1,ORANG,2018
52,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
53,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PELAJAR,7,ORANG,2018
54,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK BEKERJA,2,ORANG,2018
57,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,BEKERJA,0,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,IBU RUMAH TANGGA,5,ORANG,2018
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,NA,2,ORANG,2018
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PELAJAR,24,ORANG,2018
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
63,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
64,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TIDAK BEKERJA,11,ORANG,2018
65,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,BEKERJA,0,ORANG,2018
66,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
67,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,NA,1,ORANG,2018
68,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
69,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PELAJAR,0,ORANG,2018
70,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
71,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
72,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TIDAK BEKERJA,1,ORANG,2018
73,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,BEKERJA,0,ORANG,2018
74,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,IBU RUMAH TANGGA,0,ORANG,2018
75,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,NA,1,ORANG,2018
76,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
77,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PELAJAR,1,ORANG,2018
78,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
79,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
80,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
81,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,BEKERJA,0,ORANG,2018
82,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
83,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,NA,1,ORANG,2018
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
85,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PELAJAR,1,ORANG,2018
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
